date,open,high,low,close,volume
2017-08-22,3662.74,4145.0,3583.46,4092.0,13675.6539357
2017-08-23,4142.5,4218.0,4112.76,4143.27,2299.17606572
2017-08-24,4143.28,4349.99,4134.61,4312.03,7921.95429511
2017-08-25,4325.01,4453.9,4284.01,4360.0,8711.25443541
2017-08-26,4344.32,4392.0,4320.84,4326.0,1588.0065062
2017-08-27,4343.5,4343.5,4200.0,4261.26,3052.98736069
2017-08-28,4384.99,4399.0,4352.61,4389.47,2035.32574527
2017-08-29,4599.01,4635.21,4572.84,4618.74,2490.14813643
2017-08-30,4618.74,4632.89,4500.55,4581.98,7802.90589077
2017-08-31,4743.94,4781.96,4715.79,4715.8,2351.1415211
2017-09-01,4948.0,4980.0,4823.93,4850.01,4357.77379823
2017-09-02,4850.01,4850.01,4500.0,4649.99,15153.29260806
2017-09-03,4626.05,4628.05,4565.0,4578.28,1386.02817191
2017-09-04,4578.28,4588.98,4234.16,4498.25,18846.26762532
2017-09-05,4432.51,4530.0,4431.0,4449.59,4806.49679629
2017-09-06,4449.59,4692.0,4438.8,4616.18,11297.60013611
2017-09-07,4624.18,4625.0,4584.97,4584.97,1449.42975121
2017-09-08,4584.97,4679.99,4140.0,4350.0,20154.22550405
2017-09-09,4334.36,4334.36,4235.19,4256.28,1776.03320044
2017-09-10,4256.26,4349.99,4139.0,4251.36,8302.6666563
2017-09-11,4210.72,4298.88,4210.71,4286.05,1736.81344676
2017-09-12,4164.52,4174.53,3904.0,4010.15,5719.08147704
2017-09-13,3855.61,3923.0,3761.32,3808.96,2515.14605791
2017-09-14,3249.99,3464.99,3234.98,3317.3,7145.91274023
2017-09-15,3317.44,3894.48,2975.01,3740.02,46612.47852881
2017-09-16,3843.01,4042.98,3600.0,3726.51,15752.44701856
2017-09-17,3613.98,3841.0,3475.64,3719.97,9017.42159034
2017-09-18,4100.0,4125.22,3896.0,3908.02,4589.50364108
2017-09-19,3907.98,4049.0,3850.44,3910.11,9055.61315928
2017-09-20,3872.07,3900.0,3811.0,3862.58,2997.16789947
2017-09-21,3617.47,3767.77,3605.8,3735.24,3027.53765383
2017-09-22,3735.24,3757.29,3509.79,3619.01,9595.50382194
2017-09-23,3787.33,3789.36,3659.79,3688.7,1594.35731454
2017-09-24,3669.01,3814.09,3669.01,3789.99,2045.70820624
2017-09-25,3919.98,3939.99,3894.77,3913.0,1266.47028948
